""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"target_pathogen"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"PRPS2"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"PRPS2"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"JAK1"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"JAK1"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"ARID2"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"ARID2"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"ST6GAL1"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"ST6GAL1"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"PGRMC2"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"PGRMC2"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"FAM120A"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"FAM120A"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"LIPT1"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"LIPT1"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"IDE"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"IDE"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"LIPA"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"LIPA"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"ANXA7"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"ANXA7"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"CD96"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"CD96"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"UBXN4"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"UBXN4"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"ALDH2"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"ALDH2"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"VKORC1L1"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"VKORC1L1"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"HNRNPF"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"HNRNPF"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"DSE"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"DSE"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"STK26"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"STK26"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"IREB2"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"IREB2"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"PIP4P2"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"TMEM55A"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"ZNF654"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"ZNF654"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"PHOSPHO2"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"PHOSPHO2"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"NPTN"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"NPTN"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"SEC22C"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"SEC22C"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"ELMO2"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"ELMO2"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"FAM149B1"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"FAM149B1"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"MXI1"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"MXI1"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"PROSER1"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"C13orf23"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"TCHP"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"TCHP"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"RESF1"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"C12orf35"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"UBE2G1"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"UBE2G1"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"ZNF621"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"ZNF621"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"PTGER4"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"PTGER4"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"NBPF11"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"NBPF11"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"PRDM8"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"PRDM8"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"BANK1"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"BANK1"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"USP24"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"USP24"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"TSNAX"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"TSNAX"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"SOCS2"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"SOCS2"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"TLR2"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"TLR2"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"ATG4C"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"ATG4C"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"ZC3H14"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"ZC3H14"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"RNF13"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"RNF13"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"TIA1"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"TIA1"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"PTGDR"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"PTGDR"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"S100PBP"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"S100PBP"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"RAB1A"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"RAB1A"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"CTSC"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"CTSC"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"KYAT3"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"KYAT3"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"MPZL1"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"MPZL1"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"TLR6"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"TLR6"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"DPYD"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"DPYD"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"RSBN1L"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"RSBN1L"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"CCT4"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"CCT4"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"CIAO1"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"CIAO1"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"PTEN"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"PTEN"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"NCOA1"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"NCOA1"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"PRKCH"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"PRKCH"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"ZNF274"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"ZNF274"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"CEP95"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"CCDC45"	"VO_0001246"	"VO_0003138"
""	"20170807-hipciof_gene_28137280"	"2017.08.07"	"hipciof_gene_12"	"peripheral blood mononuclear cell"	"PXYLP1"	"gene expression"	"down"	"none"	"35"	"Days"	"Neisseria meningitidis"	""	"Menveo; ACWYVax"	""	"35d-7d"	"time of vaccination (first dose)"	"adult (30-70)"	"28137280"	"2017"	"https://www.ncbi.nlm.nih.gov/pubmed/28137280"	"2"	"80"	"ACPL2"	"VO_0001246"	"VO_0003138"
